model_id,model_name,transformation,market_pain_score,artifact_clarity_score,proofability_score,strategic_fit_score,composability_score,weighted_total,packaging_class,venture_track,status,notes
CO20,Holistic Integration,Composition,4,4,3,4,6,3.90,compositional,tbd,backlog,Abstract. Too vague for standalone offering.
CO5,Emergence,Composition,4,3,3,4,6,3.70,infrastructure_primitive,tbd,backlog,Abstract systems concept. Not directly packageable.
CO6,Gestalt Integration,Composition,3,4,3,4,5,3.60,compositional,tbd,backlog,Perceptual psychology. Low market pain.
CO_SUMMARY,Composition Summary (20 models),Composition,4.90,5.20,4.65,5.10,6.30,5.01,standalone:1 service_line:5 compositional:10 infrastructure_primitive:4,,,CO9 is the standout. Composition models are mostly compositional glue.
DE1,Root Cause Analysis (5 Whys),Decomposition,8,8,8,7,7,7.70,standalone,governance_stack,active,Universal consulting tool. Clear deliverable (RCA report). Measurable. Top 5 model.
DE13,Failure Mode Analysis (FMEA),Decomposition,8,8,8,7,6,7.60,standalone,governance_stack,active,Established methodology. Compliance buyers already pay for this. Direct case study.
DE7,Pareto Decomposition (80/20),Decomposition,7,7,7,7,7,7.00,standalone,cross_cutting,active,Universally understood. Clear before/after. Pairs with everything.
DE8,Work Breakdown Structure,Decomposition,6,7,6,6,6,6.10,service_line,cross_cutting,backlog,PM tool. Well-known. HUMMBL can add governance layer.
DE19,Critical Path Unwinding,Decomposition,6,6,6,6,6,5.90,service_line,cross_cutting,backlog,Project management. Pairs with DE8 WBS.
DE3,Modularization,Decomposition,6,6,5,6,7,5.80,compositional,cross_cutting,backlog,Architecture pattern. Core to software consulting.
DE11,Scope Delimitation,Decomposition,6,6,6,6,5,5.80,service_line,governance_stack,backlog,Scope creep is real pain. Governance application.
DE6,Taxonomy/Classification,Decomposition,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Information architecture. Real deliverable (taxonomy document).
DE15,Decision Tree Expansion,Decomposition,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Decision support tool. Clear artifact.
DE2,Factorization,Decomposition,5,5,5,5,6,5.00,infrastructure_primitive,cross_cutting,backlog,Math/CS primitive. Underpins DE3 and DE7.
DE4,Layered Breakdown,Decomposition,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Architecture pattern. Pairs with CO8.
DE12,Constraint Isolation,Decomposition,5,5,5,5,6,5.00,compositional,governance_stack,backlog,Debugging/troubleshooting pattern. Pairs with DE1.
DE18,Scenario Decomposition,Decomposition,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Scenario planning. Pairs with IN17 and P12.
DE9,Signal Separation,Decomposition,5,5,5,4,5,4.70,infrastructure_primitive,cross_cutting,backlog,Data analysis technique. Niche.
DE5,Dimensional Reduction,Decomposition,5,5,5,4,5,4.70,infrastructure_primitive,cross_cutting,backlog,Data science technique. Technical audience only.
DE16,Hypothesis Disaggregation,Decomposition,5,5,5,4,5,4.70,compositional,cross_cutting,backlog,Research technique. Academic feel.
DE14,Variable Control & Isolation,Decomposition,4,5,5,4,5,4.40,infrastructure_primitive,cross_cutting,backlog,Scientific method. Too generic to package.
DE10,Abstraction Laddering,Decomposition,4,5,4,4,6,4.20,compositional,cross_cutting,backlog,Design thinking tool. Workshop value.
DE17,Orthogonalization,Decomposition,4,4,4,4,6,4.10,infrastructure_primitive,cross_cutting,backlog,Architecture primitive. Hard to sell.
DE20,Partition-and-Conquer,Decomposition,4,4,4,4,6,4.10,infrastructure_primitive,cross_cutting,backlog,Algorithm pattern. Not a consulting deliverable.
DE_SUMMARY,Decomposition Summary (20 models),Decomposition,5.30,5.55,5.35,5.10,5.90,5.32,standalone:3 service_line:5 compositional:6 infrastructure_primitive:6,,,DE1 and DE13 are top-tier. FMEA has existing regulatory demand.
RE1,Recursive Improvement (Kaizen),Recursion,7,7,7,7,7,7.00,standalone,cross_cutting,active,Well-known methodology. Clear before/after. Applicable across all HUMMBL products.
RE20,Recursive Governance (Guardrails that Learn),Recursion,7,6,5,8,6,6.40,service_line,governance_stack,active,Core HUMMBL differentiator. Guardrails that improve. Hard to prove but high strategic fit.
RE2,Feedback Loops,Recursion,6,6,6,7,7,6.30,service_line,governance_stack,active,Governance feedback design. Pairs with SY6.
RE9,Iterative Prototyping,Recursion,6,6,6,6,7,6.10,compositional,founder_mode,backlog,Standard practice. HUMMBL can frame as governed iteration.
RE11,Calibration Loops,Recursion,6,6,6,6,6,6.00,service_line,governance_stack,backlog,AI model calibration. Growing market need.
RE17,Versioning & Diff,Recursion,5,6,6,5,5,5.30,infrastructure_primitive,governance_stack,backlog,Already built into governance tooling. Infrastructure.
RE12,Bayesian Updating in Practice,Recursion,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Decision framework. Academic feel but real application.
RE8,Bootstrapping,Recursion,5,5,5,5,5,5.00,compositional,founder_mode,backlog,Startup pattern. Relevant to founder_mode audience.
RE16,Retrospective -> Prospective Loop,Recursion,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Agile retros. Well-known. Low differentiation.
RE10,Compounding Cycles,Recursion,5,5,4,5,6,4.80,compositional,cross_cutting,backlog,Growth concept. Strategic planning workshops.
RE3,Meta-Learning (Learn-to-Learn),Recursion,5,4,4,5,6,4.60,compositional,cross_cutting,backlog,AI/ML concept. Hard to deliver as consulting.
RE19,Auto-Refactor,Recursion,4,5,5,4,5,4.40,infrastructure_primitive,cross_cutting,backlog,Dev tooling pattern. Already commoditized.
RE14,Spiral Learning,Recursion,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Education pattern. Low market pain for HUMMBL buyers.
RE15,Convergence-Divergence Cycling,Recursion,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Design thinking pattern. Workshop tool.
RE13,Gradient Descent Heuristic,Recursion,4,4,4,4,5,4.00,infrastructure_primitive,cross_cutting,backlog,ML metaphor. Niche application.
RE18,Anti-Catastrophic Forgetting,Recursion,4,4,3,4,5,3.80,infrastructure_primitive,cross_cutting,backlog,ML-specific. Narrow audience.
RE4,Nested Narratives,Recursion,3,4,3,4,5,3.60,compositional,tbd,backlog,Literary concept. Low market pain.
RE5,Fractal Reasoning,Recursion,3,3,3,3,5,3.10,infrastructure_primitive,tbd,backlog,Abstract. Not productizable in Phase 0.
RE6,Recursive Framing,Recursion,3,3,3,3,5,3.10,infrastructure_primitive,tbd,backlog,Meta-cognitive pattern. Too abstract.
RE7,Self-Referential Logic,Recursion,3,3,3,3,4,3.00,infrastructure_primitive,tbd,backlog,Logic concept. Not commercially relevant.
RE_SUMMARY,Recursion Summary (20 models),Recursion,4.60,4.65,4.55,4.85,5.60,4.64,standalone:1 service_line:4 compositional:8 infrastructure_primitive:7,,,RE1 (Kaizen) carries this group. RE20 is strategically important but harder to prove.
SY11,Governance Patterns,Systems,8,8,7,9,7,7.90,standalone,governance_stack,active,HUMMBL's core product. Directly saleable. Existing market spend. Top 3 model.
SY14,Risk & Resilience Engineering,Systems,8,7,7,8,7,7.50,standalone,governance_stack,active,Compliance/risk teams pay for this. Pairs with IN2 and DE13.
SY18,Measurement & Telemetry,Systems,7,7,7,6,6,6.60,service_line,governance_stack,active,Observability is a known market. HUMMBL can frame as governance telemetry.
SY1,Leverage Points,Systems,7,6,6,7,7,6.50,service_line,governance_stack,active,Donella Meadows framework. High strategic value. Consulting deliverable.
SY13,Incentive Architecture,Systems,7,6,6,7,6,6.40,service_line,governance_stack,active,Org design. Real pain point for AI adoption governance.
SY12,Protocol/Interface Standards,Systems,6,7,6,7,6,6.30,service_line,governance_stack,backlog,Standards work. Pairs with CO9 contracts.
SY16,Ecosystem Strategy,Systems,6,5,5,6,6,5.60,service_line,cross_cutting,backlog,Platform/ecosystem consulting. Pairs with CO14.
SY5,Systems Archetypes,Systems,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Senge's archetypes. Known framework. Workshop deliverable.
SY6,Feedback Structure Mapping,Systems,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Systems thinking tool. Pairs with RE2.
SY10,Causal Loop Diagrams,Systems,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Systems thinking deliverable. Visual artifact.
SY15,Multi-Scale Alignment,Systems,5,5,5,6,6,5.20,compositional,governance_stack,backlog,Alignment across org levels. Real pain. Hard to prove.
SY4,Requisite Variety,Systems,5,5,5,5,6,5.00,compositional,governance_stack,backlog,Ashby's law. Academic but applicable to governance.
SY2,System Boundaries,Systems,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Foundational concept. Compositional.
SY17,Policy Feedbacks,Systems,5,5,5,5,5,5.00,compositional,governance_stack,backlog,Policy design. Governance application.
SY20,Systems-of-Systems Coordination,Systems,5,5,5,5,6,5.00,compositional,governance_stack,backlog,Enterprise architecture. Real but competitive market.
SY3,Stocks & Flows,Systems,5,5,5,4,5,4.70,compositional,cross_cutting,backlog,Systems dynamics. Academic but applicable.
SY9,Phase Transitions & Tipping Points,Systems,5,4,4,5,5,4.60,compositional,cross_cutting,backlog,Strategy concept. Hard to prove.
SY7,Path Dependence,Systems,5,4,4,5,5,4.60,compositional,cross_cutting,backlog,Lock-in analysis. Useful for tech strategy.
SY19,Meta-Model Selection,Systems,4,4,4,5,6,4.30,infrastructure_primitive,cross_cutting,backlog,The meta-model of choosing models. Very HUMMBL but hard to sell.
SY8,Homeostasis/Dynamic Equilibrium,Systems,4,4,4,4,5,4.00,infrastructure_primitive,tbd,backlog,Biology metaphor. Abstract.
SY_SUMMARY,Systems Summary (20 models),Systems,5.60,5.40,5.25,5.70,5.85,5.47,standalone:2 service_line:8 compositional:8 infrastructure_primitive:2,,,Strongest transformation for governance positioning. SY11 ties for #1 overall.
